"L","I"
476.104,0.704954
480.382,0.70919
485.269,0.766117
488.929,0.880325
493.688,1.14100
494.538,2.05106
496.120,3.15041
498.308,4.97686
499.516,7.33004
500.966,10.0460
502.417,12.5821
503.500,15.4731
504.583,18.1843
505.301,20.7110
506.383,23.7818
506.974,27.0260
508.170,31.3570
508.766,33.8821
509.958,38.9322
511.138,45.9602
512.678,54.071
514.218,62.1831
515.161,67.9492
516.481,71.9222
517.073,75.1664
517.905,78.9533
519.106,82.5650
521.029,87.8045
521.756,88.8927
522.972,89.8075
524.193,90.0032
524.926,90.0127
526.031,89.1279
527.015,88.0618
528.251,85.7402
530.598,81.4551
532.085,78.0580
533.325,75.0172
535.060,70.9040
537.050,64.9960
539.028,61.2456
540.639,57.4904
542.493,53.9182
544.590,50.5289
546.321,47.1349
549.030,43.7535
551.001,41.0819
553.094,38.4118
554.937,36.6376
558.620,33.8083
562.550,30.4427
565.739,28.5061
569.052,26.2114
571.995,24.4514
575.064,21.9738
578.009,19.8542
580.464,18.0878
584.265,15.7995
588.190,13.3330
590.761,12.4672
593.704,10.7072
596.520,9.84457
599.090,9.15860
