"L","I"
349.470,1.00180
374.902,7.27322
387.086,8.50345
400.067,11.8502
404.577,17.7687
405.910,24.1219
409.382,46.1500
411.815,83.4400
413.454,121.580
414.564,159.723
416.204,198.287
416.783,235.583
418.159,274.996
422.229,348.731
423.288,348.304
424.079,345.758
426.943,308.450
429.009,269.025
432.662,227.053
435.299,218.991
436.359,219.411
438.218,223.643
443.829,260.498
449.156,283.368
451.008,282.514
452.057,274.881
453.906,271.060
454.150,255.377
457.009,214.255
461.458,174.398
469.874,129.866
474.361,118.407
479.643,107.793
483.867,97.1826
488.613,81.9081
494.679,62.8145
499.696,51.3537
515.292,29.6848
524.815,21.1756
534.868,13.0885
549.690,6.68056
574.313,2.35863
583.051,1.05747
599.733,0.270629
