"L","I"
363.348,0.329698
420.589,1.63035
374.899,0.667860
378.750,1.04230
393.125,2.15231
400.055,1.72708
407.754,1.29824
422.899,1.61947
425.979,1.60496
452.193,18.3623
428.804,2.37681
429.829,1.97940
433.166,1.96368
435.736,3.52188
438.046,3.51100
440.617,5.46178
444.218,9.37059
448.333,13.6696
449.877,15.6252
455.799,24.6266
460.171,28.9243
461.971,30.4862
464.545,34.0072
467.889,37.5247
469.948,40.6556
472.521,43.3915
474.318,43.7756
477.660,46.1154
482.027,48.0577
484.852,48.8295
488.959,49.2028
492.808,48.3995
496.142,47.2060
501.269,44.0413
505.628,41.6653
514.855,34.9480
525.106,27.0481
528.693,23.8906
533.563,20.7270
538.176,17.1721
544.843,13.6075
549.202,11.6241
556.638,8.05583
570.236,4.85115
575.112,4.43560
598.718,0.791194
600.002,0.785148
